ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence
1704292200593578522,1704292200593404789,0,1,17077,T,A,0,4764500000000,3,0,15545,8560423
1704292200596640818,1704292200596450089,0,1,17077,T,A,0,4764500000000,1,0,16029,8560426
1704292200609847597,1704292200609660393,0,1,17077,T,A,0,4764500000000,2,0,15634,8560439
1704292200619344470,1704292200619159691,0,1,17077,T,A,0,4764500000000,1,0,15728,8560452
1704292200648991519,1704292200648402291,0,1,17077,T,A,0,4764500000000,3,0,403166,8560471
1704292200649379690,1704292200649006371,0,1,17077,T,A,0,4764500000000,41,0,16642,8560473
1704292200649490627,1704292200649020987,0,1,17077,T,A,0,4764500000000,2,0,19924,8560474
1704292200649573046,1704292200649382731,0,1,17077,T,A,0,4764500000000,2,0,12638,8560477
1704292200649633168,1704292200649385265,0,1,17077,T,A,0,4764500000000,1,0,17018,8560478
1704292200649633168,1704292200649385707,0,1,17077,T,A,0,4764500000000,1,0,17018,8560478
1704292200649716688,1704292200649387971,0,1,17077,T,A,0,4764500000000,4,0,13960,8560479
1704292200650071432,1704292200649745885,0,1,17077,T,B,0,4764500000000,1,0,15240,8560495
1704292200650193643,1704292200649996657,0,1,17077,T,B,0,4764500000000,1,0,15670,8560498
1704292200653832550,1704292200653540911,0,1,17077,T,B,0,4764500000000,12,0,15745,8560516
1704292200654273968,1704292200653873631,0,1,17077,T,A,0,4764500000000,1,0,15781,8560537
1704292200669764248,1704292200669578185,0,1,17077,T,A,0,4764500000000,1,0,15237,8560579
1704292200669782833,1704292200669584733,0,1,17077,T,A,0,4764500000000,1,0,14209,8560580
1704292200669933182,1704292200669767219,0,1,17077,T,A,0,4764500000000,2,0,15237,8560582
1704292200669991922,1704292200669768921,0,1,17077,T,A,0,4764500000000,1,0,15227,8560583
1704292200669991922,1704292200669788575,0,1,17077,T,A,0,4764500000000,1,0,15227,8560583
1704292200670171798,1704292200670011497,0,1,17077,T,A,0,4764500000000,1,0,15207,8560585
1704292200670338454,1704292200670174769,0,1,17077,T,A,0,4764500000000,1,0,15193,8560587
1704292200686851012,1704292200686638621,0,1,17077,T,A,0,4764250000000,1,0,15725,8560639
1704292200703130556,1704292200702913119,0,1,17077,T,B,0,4764500000000,2,0,15538,8560675
1704292200708052476,1704292200707438841,0,1,17077,T,B,0,4764500000000,52,0,20958,8560679
1704292200708052476,1704292200707438841,0,1,17077,T,B,0,4764750000000,71,0,20958,8560679
1704292200708052476,1704292200707438841,0,1,17077,T,B,0,4765000000000,72,0,20958,8560679
1704292200709764961,1704292200708323237,0,1,17077,T,A,0,4764750000000,1,0,15579,8560742
1704292200709884750,1704292200708453185,0,1,17077,T,B,0,4764750000000,1,0,20159,8560743
1704292200710092795,1704292200708746531,0,1,17077,T,B,0,4764750000000,2,0,19955,8560745
1704292200710368145,1704292200709767935,0,1,17077,T,A,0,4764750000000,2,0,19841,8560748
1704292200710368145,1704292200709768291,0,1,17077,T,A,0,4764750000000,1,0,19841,8560748
1704292200710532215,1704292200710069223,0,1,17077,T,A,0,4764750000000,3,0,19585,8560750
1704292200710532215,1704292200710101723,0,1,17077,T,A,0,4764750000000,1,0,19585,8560750
1704292200710532215,1704292200710107393,0,1,17077,T,A,0,4764750000000,2,0,19585,8560750
1704292200710690874,1704292200710485531,0,1,17077,T,A,0,4764750000000,1,0,15126,8560753
1704292200710763975,1704292200710488365,0,1,17077,T,A,0,4764750000000,1,0,16155,8560754
1704292200710763975,1704292200710534541,0,1,17077,T,A,0,4764750000000,2,0,16155,8560754
1704292200717162203,1704292200716971531,0,1,17077,T,B,0,4765000000000,2,0,17255,8560839
1704292200720253702,1704292200720069555,0,1,17077,T,A,0,4764750000000,1,0,15305,8560858
1704292200720301649,1704292200720119697,0,1,17077,T,A,0,4764750000000,1,0,15264,8560859
1704292200720383162,1704292200720149117,0,1,17077,T,B,0,4765000000000,14,0,15729,8560860
1704292200720406166,1704292200720149295,0,1,17077,T,B,0,4765000000000,1,0,15445,8560861
1704292200720509781,1704292200720340169,0,1,17077,T,A,0,4764750000000,1,0,15417,8560863
1704292200720628331,1704292200720389555,0,1,17077,T,B,0,4765000000000,3,0,15638,8560865
1704292200720685765,1704292200720398497,0,1,17077,T,B,0,4765000000000,1,0,16333,8560866
